about,4_infection,4_dead,5_infection,5_dead,6_infection,6_dead,7_infection,7_dead,8_infection,8_dead,9_infection,9_dead,10_infection,10_dead,11_infection,11_dead,infection_all,dead_all
male,214,29,416,11,625,6,968,9,2562,12,1939,45,1320,30,3658,23,11702,165
female,220,26,244,10,564,3,537,10,3080,11,1926,44,1253,18,3398,30,11222,152
all,434,55,660,21,1189,9,1505,19,5642,23,3865,89,2573,48,7056,53,22924,317
